Plot,Shrub Cover (%),Shrub Ht (m),Herb Cover (%),Ground Cover (%),X_COORD,Y_COORD,Management Unit,Burn_YEAR,Thinning_Year,Notes,,,,,,Thinning_Year
M134,3,0.2,2,"CW-3, TB-3, LI-94",580272.125,1875321.125,East Woods.central,,,,,,,,,
M137,10,1.75,2,"RO-1, CW-4, TB-4, LI-91",580571.875,1875332.25,East Woods.central,,,,,,,,,
MM114,10,0.5,10,"LI-80, BA-10, TB-5, CW-5",578178.9375,1877846.25,woodland,,,,,,,,,
N110,10,1.25,3,"LI-35, BA-50, RO-10, CW-5",577871,1875332.375,East Woods.unburned,,,,,,,,,
N113,3,1,2,"LI-75, CW-20, TB-5",578170.8125,1875343.5,East Woods.unburned,,,,,,,,,
N115,20,1,5,"LI-90, CW-3, TB-7",578370.5625,1875350.875,East Woods.unburned,,,,,,,,,
N116,20,0.6,30,"LI-75, BA-20, RO-2, TB-3",578470.375,1875354.5,East Woods.unburned,,,,,,,,,
N123,1,0.5,3,"BA-2, LI-89, TB-4, CW-5",579169.625,1875380.5,East Woods.unburned,,,,,,,,,
NN110,40,1.5,70,"LI-60, BA-35, TB-5",0,0,woodland,2007,2007-08,,,,,,,
NN114,15,0.5,50,"LI-10, BA-85, CW-5",0,0,woodland,,,,,,,,,
NN118,30,1.25,50,"LI-90, CW-6, TB-4",578574.875,1877961,Lacey bottoms,,,,,,,,,
O105,0,0,1,"LI-85, CW-5, TB-5, BA-5",577368,1875414.125,East Woods.central,,,,,,,,,
O108,25,1.5,2,"LI-87, BA-5, TB-7, CW-1",577667.5,1875425.125,East Woods.central,,,,,,,,,
O109,15,1,2,"LI-85, CW-10, TB-5",577767.5625,1875428.875,East Woods.central,,,,,,,,,
O112,3,0.3,1,"LI-92, CW-3, TB-5",0,0,East Woods.unburned,,,,,,,,,
O121,3,0.3,2,"LI-87, TB-4, CW-9",578966.25,1875473.125,East Woods.unburned,,,,,,,,,
O131,12,0.33,2,"LI-85, CW-10, TB-5",579965.0625,1875510.125,East Woods.central,burned once in 1990,,,,,,,,
O135,1,0.2,1,"CW-9, TB-5, LI-86",580364.6875,1875524.875,East Woods.central,,,,,,,,,
O136,25,1.25,60,"CW-3, TB-4, LI-93",580464.5,1875528.5,East Woods.central,,,,,,,,,
OO110,75,2,20,TB-3 CW-4 LI-93,577772,1878031.5,woodland,2007,2007-08,recently mowed,,,,,,
OO116,80,1.25,15,"LI-82, CW-10, BA-4, TB-4",0,0,woodland,,,,,,,,,
P107,2,0.2,5,"LI-94, CW-3, TB-3",577564.125,1875521.25,East Woods.central,,,,,,,,,
P124,7,0.5,5,"BA-8, RO-4, TB-10, CW-8, LI-70",579262.25,1875584.125,East Woods.central,,,,,,,,,
P126,5,1.1,25,"LI-78, CW-12, TB-10",579462.0625,1875591.5,East Woods.central,,,,,,,,,
P95,55,2,15,CW-30 TB-6 LI-25 BA-39,576365.4375,1875477,Spike Rush wetland,periodic since 1980s,,,,,,,,
Q110,10,0.5,3,"LI-55, RO-27, BA-10, TB-3, CW-5",577860,1875632.5,East Woods.central,,,,,,,,,
Q120,3,0.6,7,"LI-85, CW-6, TB-6, BA-3",578858.9375,1875669.375,East Woods.central,,,,,,,,,
Q122,6,1.33,5,"LI-86, CW-7, TB-7",579058.6875,1875676.75,East Woods.central,,,,,,,,,
Q127,4,0.5,35,"CW-5, TB-6, LI-87, BA-2",579558.1875,1875695.25,East Woods.central,,,,,,,,,
Q129,45,0.4,5,"LI-90, CW-5, TB-4, RO-1",579757.9375,1875702.625,East Woods.central,burned once in 1990,,,,,,,,
Q132,10,0.25,2,"CW-1, TB-4, LI-95",580057.625,1875713.75,East Woods.central,,,,,,,,,
